"","year","country.x","TOTAL","TAX","SPEND","DTOTALE","DTAXE","DSPENDE","ccode","WAGESH","NPINV","PDEBT","RYIELD","RGROWTH","INFL","UNEM","OGAP","ACTPOPG","RGDPGR","GPINVB","RGDPB","COMNGCONS","COMNGINV","country.y","gini_disp","gini_mkt","country.x.x","iso","ifs","pop","gdp","iy","cpi","ca","imports","exports","narrowm","money","stir","ltrate","hpnom","unemp","wage","debtgdp","revenue","expenditure","xrusd","tloans","tmort","thh","tbus","bdebt","lev","ltd","noncore","crisisJST","crisisJST_old","peg","peg_strict","peg_type","peg_base","JSTtrilemmaIV","eq_tr","housing_tr","bond_tr","bill_rate","rent_ipolated","housing_capgain_ipolated","housing_capgain","housing_rent_rtn","housing_rent_yd","eq_capgain","eq_dp","eq_capgain_interp","eq_tr_interp","eq_dp_interp","bond_rate","eq_div_rtn","capital_tr","risky_tr","safe_tr","country.y.y","ginv","pinv","ginv_nom","pinv_nom","RGCONS","NGCONS","SOCPR","HEALTH","EDUC","PUBSERV","OTHER","DEFSAFE","HOUS","ENVIR","ECAFF","ORDER","DEF","RECR","CAPB","change_CAPB","sum_spillover_total","sum_spillover_tax","sum_spillover_spend","GREXPART","banking_crisis","V1","sum_spillover_CAPB","approval","Country","STRIKE","GOVCRISIS","RIOTS","DEMONSTR","lrgov","TOPTEN","BOTTOMFIFTY","TOPBOTTOM","log_TOPBOTTOM","log_ginv","log_pinv","log_RGCONS","RATIOINVCONS","CONSRATIOINVCONS","log_DEFSAFE","log_EDUC","log_HEALTH","log_OTHER","log_PUBSERV","log_SOCPR","log_APPROV","log_WAGESH"
"232","1999","Denmark",0,0,0,0,0,0,"DNK",65.2370282,-0.247680296,56.764,2.868183673,2.9,"2.041",5.108,"0.83",0.10224195,2.948002565,34.004,1705.101,40.68432,4.57319,"Denmark",22.5,43.3,"Denmark","DNK",128,5320.134,1241.52075,0.197900734,118.6780694,21.25793,310.5864,351.9164,377.952,523.5446554,3.3076,4.91,171.1861049,5.1415,129.6169393,67.0550832,471.273,466.904,7.3988,1445.87,1015.192,743.741,702.127,959.6939697,6.003407478,91.64113617,49.13895035,0,0,1,1,"PEG","DEU",-0.68199998,0.232490003,0.109352559,-0.04315865,0.033075999,NA,NA,0.067497291,0.041855268,0.039208781,0.21920073,0.0109,NA,NA,NA,0.0491,0.013289288,0.108145691,0.141689762,-0.005041325,"Denmark",7.413,40.904,39.846,219.854,60.08115349,43.362981423,389647.8307308,117229.046063384,929847.4,156192.318399786,113617.012004705,389647.8307308,"10665.800950458","9774.4663101223","66293.8722480824","15726.7688235507","26874.6321141594","26882.8724960424",3.63,0.76,0.060113013,0.059473715,0.001343876,0.002144672,0,232,0.0827821724110526,41.119499,"Denmark",0,0,1,0,2.6,0.2962,0.2719,1.08937109231335,0.0856005501952735,2.00323521567458,3.7112278577777,4.09569620650593,0.918894381622603,0.112406696240714,12.8729986120313,13.7427757656443,11.6718849587248,11.6405885276198,11.9588433372001,12.8729986120313,3.71648243722055,4.17802722490659
"233","2000","Denmark",0,0,0,0,0,0,"DNK",62.855691,-0.166250884,52.354,2.890618785,3.7,"2.751",4.317,"2.365",0.10447097,3.746874819,36.787,1768.989,42.49957,4.93532,"Denmark",22.6,43.7,"Denmark","DNK",128,5337.416,1326.9115,0.201779957,121.9025895,18.28277,358.8709,408.2388,386.604,499.4319298,4.9074,5.641666667,182.3206974,4.476,133.1586454,60.3999802,499.778,480.605,8.0205,1621.6,1055.754,799.253,822.347,1112.473022,6.676899433,102.6358719,53.39923477,0,0,1,1,"PEG","DEU",1.38,0.169699669,0.105345547,0.085023396,0.049074002,NA,NA,0.065046206,0.040299345,0.03783812,0.157860279,0.010225227,NA,NA,NA,0.056416668,0.011839384,0.112484403,0.123900935,0.067048699,"Denmark",7.887,44.366,43.076,242.324,61.842784901,39.190870953,395345.337285717,118316.837933852,932023.2,150903.3287069,114834.617506769,395345.337285717,"12599.7187045808","8897.526466445","65671.5843178128","15968.6203199099","25412.7434077578","27665.7880179304",3.33,-0.3,0.104169604,-0.015217704,0.119387307,0.408935131,0,233,0.000540858601578958,35.72736,"Denmark",0,0,0,0,2.6,0.2996,0.2694,1.11210096510765,0.106250987666801,2.06521583441585,3.79247341032404,4.12459543723994,1.09913352146879,0.116126351396026,12.8875149335398,13.7451129860618,11.6811213723306,11.6512482636379,11.9243947035378,12.8875149335398,3.575916781816,4.14084147986296
"234","2001","Denmark",0,0,0,0,0,0,"DNK",63.9917065,0.048486143,48.508,2.809938811,0.8,"2.269",4.508,"1.21",0.141770474,0.823125525,41.206,1783.55,44.76919,5.52947,"Denmark",22.8,43.9,"Denmark","DNK",128,5355.826,1371.52622,0.197685702,124.721292,40.34961,367.0322,424.6695,414.851,531.8484689,4.6186,5.079166667,192.966583,4.1642,137.1951461,58.3859684,502.364,491.726,8.4095,1779.8,1154.48,876.667,903.133,1272.161987,6.095427513,104.1284103,55.23700333,0,0,1,1,"PEG","DEU",0.26100001,-0.128663421,0.097279735,0.054231219,0.046186,NA,NA,0.058391519,0.038888216,0.036742751,-0.144495592,0.018506253,NA,NA,NA,0.050791666,0.015832182,0.04678832,0.04594196,0.05020861,"Denmark",8.354,43.646,46.959,245.341,63.019965887,40.085372951,404143.560657399,123643.23992556,942381.8,149655.395249824,108057.793664434,404143.560657399,"8110.6740367661","10794.7258584568","60401.5692896762","16422.9120426998","26408.7811990773","28750.8244795352",2.98,-0.35,0.007256193,0.006402523,0.00085367,-1.373558596,0,234,0,40.150558,"Denmark",0,0,0,0,3.2136,0.2808,0.278,1.01007194244604,0.010021558461019,2.12274046607498,3.77611164005681,4.14345159502463,1.17147469370941,0.123510610757085,12.909525441984,13.7561657792991,11.7251556004123,11.5904214894998,11.9160905650855,12.909525441984,3.69263633817913,4.15875348902519
"235","2002","Denmark",0,0,0,0,0,0,"DNK",64.6908961,-0.227545055,49.081,2.658523659,0.5,"2.397",4.642,"-0.111",0.129174002,0.466373244,38.611,1791.868,47.20008,5.19627,"Denmark",23,44.1,"Denmark","DNK",128,5374.693,1410.27103,0.195851063,127.6705482,27.31893,384.7095,442.7536,438.084,564.0340665,3.4848,5.055833333,199.9405627,4.274,142.9484758,58.2495409,515.575,508.289,7.0822,1883.8,1247.2679,938.597,945.203,1238.68396,5.733957291,106.116539,60.26415253,0,0,1,1,"PEG","DEU",-1.095,-0.202343047,0.073798344,0.098533981,0.034848001,NA,NA,0.036140896,0.037657447,0.036343943,-0.21374622,0.014295832,NA,NA,NA,0.050558332,0.011240152,0.03413162,0.025807532,0.066690989,"Denmark",7.643,43.156,43.796,247.304,64.362746818,44.424875676,411900.421729404,126785.211955842,953530,140066.625200061,113931.98547746,411900.421729404,"9877.5190433904","12205.2287021878","63432.6293699798","16662.4369353","26350.6389813318","28416.6083619021",2.4,-0.58,0.009868916,0.004467197,0.005401719,-0.416897273,0,235,0,41.404121,"Denmark",0,0,0,0,9,0.2748,0.2817,0.975505857294995,-0.0247991145341327,2.03379019626075,3.76482145768909,4.16453500017555,0.985844064469949,0.110090279508001,12.9285369042872,13.7679261665586,11.7502496892301,11.6433569307102,11.8498734826758,12.9285369042872,3.72338041694019,4.16962048217822
"236","2003","Denmark",0,0,0,0,0,0,"DNK",65.1049075,-0.314598746,46.15,2.346611625,0.4,"1.961",5.433,"-1.325",0.096853548,0.390039891,37.746,1798.857,48.4119,5.07974,"Denmark",23.1,44.4,"Denmark","DNK",128,5394.138,1436.75124,0.19264434,130.2265702,45.87041,369.7009,429.272,469.138,603.6094,2.375261,4.308333333,206.2541276,5.3984,148.2732915,56.6471929,523.637,525.58,5.9576,2009.27,1356.52,1022.89,986.378,1235.517944,5.933396816,100.3772736,57.39339828,0,0,1,1,"PEG","DEU",-0.95999998,0.330832273,0.068895943,0.042590596,0.023752609,NA,NA,0.031574313,0.037321631,0.036179293,0.300372243,0.022887956,NA,NA,NA,0.043083332,0.029762862,0.106522672,0.123160489,0.033171602,"Denmark",7.38,44.272,42.494,254.906,64.5189807,54.606937778,426998.881148871,128524.728838057,964895.1,136528.962435338,111574.734400392,426998.881148871,"9615.5973763677","11221.9530318208","61882.8796776499","16916.1896031386","26227.5434687697","28854.3043145535",2.68,0.28,0.122106393,0.113166964,0.008939429,0.046476214,0,236,0,37.066959,"Denmark",0,0,0,0,9,0.2646,0.287,0.921951219512195,-0.0812629640787658,1.99877363861238,3.79035242304457,4.16695945493011,0.778179508485824,0.104927507492992,12.9645366719471,13.7797746697491,11.7638766071223,11.6224499090366,11.8242920501138,12.9645366719471,3.61272597980792,4.17599993039787
"237","2004","Denmark",0,0,0,0,0,0,"DNK",63.9325117,-0.13446186,44.156,3.368349783,2.7,"0.937",5.517,"-0.192",0.120963782,2.668194303,42.571,1846.854,50.47203,5.72201,"Denmark",23.1,44.8,"Denmark","DNK",128,5413.392,1506.0008,0.208078661,131.3795328,52.38096,400.1245,452.3997,536.546,680.7305,2.161666667,4.305,224.6796989,5.2041,153.3908024,53.598703,575.725,549.349,5.4676,2192.1,1449.173,1125.49,1066.61,1319.392944,5.717918873,103.2401733,56.59328842,0,0,1,1,"PEG","DEU",-0.26967001,0.240313485,0.126547128,0.085197657,0.021616668,NA,NA,0.089336447,0.037210677,0.034159031,0.215753272,0.019801624,NA,NA,NA,0.043049999,0.024073889,0.133836076,0.150002092,0.053407162,"Denmark",7.928,45.526,46.139,264.961,65.502663912,62.67709469,433041.754991676,133150.038485433,978784.5,131987.477362495,114312.378770812,433041.754991676,"7778.6130831225","10409.091573316","63825.5867135726","17397.9479442311","26451.9445377505","32299.0874008007",3.77,1.09,0.181418963,-0.071529476,0.25294844,0.906150344,0,237,0.152342418302105,42.60442,"Denmark",0,0,0,0,9,0.2756,0.275,1.00218181818182,0.00217944147293209,2.07040079702769,3.8182835913252,4.1820908122264,0.736138141504529,0.113369919933872,12.9785894341868,13.7940667747081,11.7992318802802,11.6466901446258,11.7904623286023,12.9785894341868,3.7519580037616,4.15782802229093
"238","2005","Denmark",0,0,0,0,0,0,"DNK",64.0197087,-0.195273245,37.412,1.677797645,2.3,"1.726",4.8,"0.783",0.18263781,2.336676316,43.238,1890.009,52.14104,5.80232,"Denmark",23.7,44.8,"Denmark","DNK",128,5432.335,1585.98417,0.211727617,133.5816441,67.569035,435.1274,493.6786,643.536,781.4231,2.199475083,3.404166667,264.1658962,4.8299,158.6317013,45.3586978,631.177,547.75,6.3241,2521.81,1615.658,1304.72,1217.09,1507.152954,5.711240768,113.6417007,58.35802841,0,0,1,1,"PEG","DEU",0.041669998,0.43154195,0.210713491,0.078614146,0.021994751,NA,NA,0.175743282,0.034970209,0.029743064,0.395640284,0.025079023,NA,NA,NA,0.034041665,0.035001297,0.234942511,0.260804623,0.05030445,"Denmark",7.511,49.152,44.523,291.377,66.292690904,64.791030032,429773.931840336,137047.262262201,968468.8,128713.741932123,108572.911516187,429773.931840336,"5492.5204063102","11781.0928046827","61734.5470011917","17730.0322423699","26119.5622185955","29564.7513040029",5.64,1.87,0.054961686,0.022058582,0.032903104,-0.366227742,0,238,0.237329241534737,47.014671,"Denmark",0,0,0,0,9,0.3048,0.2416,1.26158940397351,0.232372357751831,2.01636861270387,3.89491753752521,4.19407964833937,0.687178456308077,0.111281247938284,12.9710146095139,13.7834715465452,11.8280811253344,11.5951772218156,11.7653461628036,12.9710146095139,3.85045970193789,4.15919098439078
"239","2006","Denmark",0,0,0,0,0,0,"DNK",63.8917442,0.101708232,31.549,1.967958803,3.9,"1.844",3.9,"3.542",0.243091734,3.91299724,49.385,1963.965,54.58651,6.62078,"Denmark",24.3,44.8,"Denmark","DNK",128,5450.661,1682.26021,0.232717113,136.0983427,53.055531,499.9485,539.7677,699.268,867.8161,3.181489816,3.811666667,321.1398758,3.897,164.8852167,41.0223944,647.12,556.848,5.6614,2862.4,1778.392,1464.61,1397.79,1848.494019,6.18190527,131.1616669,60.49385834,0,0,1,1,"PEG","DEU",0.74583,0.224434182,0.246025279,-0.012141002,0.031814899,NA,NA,0.215674996,0.030350288,0.024965791,0.152190477,0.05900171,NA,NA,NA,0.038116667,0.067981206,0.217517316,0.241195396,0.009836948,"Denmark",8.258,56.101,50.234,341.266,67.975885586,68.468166913,425556.431471932,144319.75688894,978638.8,132621.846664563,106643.61330001,425556.431471932,"3592.2624511383","11281.1283930288","61639.3477072475","17836.3944518983","30064.3297503132","30130.8747485956",3.81,-1.83,0.134125871,0.025505747,0.108620124,0.792723682,0,239,0,47.763531,"Denmark",0,0,0,0,9,0.3051,0.2423,1.25918283120099,0.230462963900144,2.1111824274639,4.02715363768172,4.21915301854695,0.733684020835997,0.121289673950579,12.9611528421076,13.7939179055286,11.8797866507672,11.577247837437,11.7952570993061,12.9611528421076,3.8662623985123,4.15719015428857
"240","2007","Denmark",0,0,0,0,0,0,"DNK",65.6920371,0.102194344,27.346,2.629446018,0.9,"1.657",3.775,"3.581",0.337872342,0.909232089,52.85,1981.822,56.80044,7.09334,"Denmark",24.2,44.4,"Denmark","DNK",128,5468.12,1738.8453,0.235162181,138.3523609,24.071912,528.9594,553.4892,755.095,986.3487,4.3275,4.285833333,335.8076872,3.801,169.5873747,34.063898,712.148,624.983,5.0753,3228.84,1953.2841,1599.86,1628.98,1873.093018,5.692542553,132.3677826,59.92905807,0,0,1,1,"PEG","DEU",1.02334,0.071343176,0.071154393,0.003036111,0.043274999,NA,NA,0.045674782,0.025479609,0.024366667,0.054932337,0.015318005,NA,NA,NA,0.042858332,0.01615946,0.067060374,0.071196914,0.023155555,"Denmark",8.98,55.837,56.639,352.161,68.791837284,77.741155648,425354.640093649,151948.273100964,982813.6,133255.486422929,108383.058907854,425354.640093649,"6417.8453621129","10282.6852880452","57871.1625122791","18116.0809857546","28011.2565200938","33811.3657454166",3.91,0.1,0.17587848,0.117405021,0.058473459,-0.245959393,0,240,0.0529992537652631,51.13921,"Denmark",0,0,1,1,9,0.3006,0.2447,1.22844299141806,0.205747506870248,2.19499988231411,4.02243673208251,4.23108509377262,0.72855876051615,0.12488177908481,12.9606785472282,13.7981747575473,11.931295433364,11.5934270726363,11.8000235150861,12.9606785472282,3.93455152195334,4.1849777172319
"241","2008","Denmark",0,0,0,0,0,0,"DNK",65.9951983,0.026700473,33.313,0.645913785,-0.5,"3.638",3.7,"2.383",0.411619993,-0.512003601,54.029,1971.675,60.64718,7.24638,"Denmark",24.5,45.4,"Denmark","DNK",128,5484.723,1801.46991,0.229419928,143.3857581,47.975275,552.4937,588.8968,755.19,1064.7392,4.880833333,4.281666667,320.6643772,3.4337,176.8484555,42.1738536,718.412,657.933,5.2849,3473.11,2096.29,1641.7,1831.41,2072.204102,4.890776634,135.5818634,62.7213707,1,1,1,1,"PEG","DEU",-0.04084,-0.47955364,-0.020162115,0.120099716,0.048808333,NA,NA,-0.045097198,0.024935083,0.026112692,-0.489623666,0.01934883,NA,NA,NA,0.042816665,0.009875185,-0.063344449,-0.085080221,0.084454022,"Denmark",8.793,54.413,57.482,355.718,71.029964145,88.696765854,425851.66639405,155491.840944091,993936.6,139213.622962959,106205.166290265,425851.66639405,"7427.1490096122","8978.02878365","54753.6079433939","19106.3572444445","27685.9948934793","35046.3805536094",2.76,-1.15,0,0,0,-1.736056593,1,241,0,56.981319,"Denmark",1,0,0,0,9,0.2961,0.2405,1.23118503118503,0.20797714556173,2.17395595039687,3.99660309590121,4.26310181822288,0.64807323521377,0.119484203552416,12.9618463636625,13.8094287009083,11.9543485394119,11.5731280334077,11.8437648882071,12.9618463636625,4.04272347727499,4.18958198634949
"242","2009","Denmark",0,0,0,0,0,0,"DNK",68.2591566,0.071132513,40.182,2.543857208,-4.9,"1.042",6.442,"-3.09",0.244838139,-4.906538857,53.92,1874.934,64.60724,7.24124,"Denmark",24.9,46.2,"Denmark","DNK",128,5519.778753,1722.14251,0.201672377,144.8800479,56.91144,428.2661,491.6131,820.3,1025.5548,1.809166667,3.5875,282.215031,6.41,183.4303976,41.7801606,679.322,717.189,5.1901,3505.81,2213.239,1738.66,1767.15,1953.324951,5.594133854,119.8188858,59.47108459,0,0,1,1,"PEG","DEU",-3.192497,0.354730189,-0.093031414,0.005764995,0.018091667,NA,NA,-0.119904324,0.026872911,0.030534079,0.321431696,0.024579411,NA,NA,NA,0.035875,0.032480013,-0.004872308,-0.007162389,0.011928331,"Denmark",8.848,46.155,55.869,291.431,73.180068979,89.738757298,455105.206876377,166326.169363324,1060018.5,147761.289411609,114814.397721555,455105.206876377,"9456.6354246186","8261.2191574955","62154.0248395176","20146.7923707767","25824.4752788341","34942.5182999232",0.74,-2.02,0.05212667,0.025843391,0.026283279,-3.011560422,0,242,0,51.999409,"Denmark",0,0,0,0,9,0.285,0.2445,1.16564417177914,0.153273871353724,2.18019144477998,3.83200529744212,4.29292310218422,0.622573809602389,0.112080937059066,13.0282838951091,13.8737969187661,12.021706015178,11.6510721706967,11.9033533412266,13.0282838951091,3.95123235313223,4.22331158770343
"243","2010","Denmark",0,0,0,0,0,0,"DNK",65.5194565,0.273782671,42.588,0.727501855,1.9,"2.198",7.75,"-1.807",0.053592857,1.870999193,59.592,1910.014,66.54428,8.00183,"Denmark",25.1,46.9,"Denmark","DNK",128,5543.816984,1810.9256,0.181125407,148.0652446,118.8510734,465.0139,540.8948,800.4,977.6977,0.701866667,2.9275,289.9947167,7.75,190.1289562,42.6,717.728,765.158,5.6133,3541.93,2281.1799,1776.58,1765.35,2041.666992,5.836858273,120.0369034,59.68679047,0,0,1,1,"PEG","DEU",-0.24250001,0.326783538,0.059004202,0.076342382,0.007018667,NA,NA,0.027567634,0.03143657,0.030593188,0.311823666,0.011275288,NA,NA,NA,0.029275,0.01479119,0.11144805,0.1209163,0.041680522,"Denmark",9.454,42.403,59.797,268.203,74.353848313,88.116738664,474380.994139699,163308.11815038,1082466.3,151903.466250563,111045.84992807,474380.994139699,"4887.5572832472","7854.4754182869","64347.2124069112","19860.3158488442","25753.0181668205","33956.6048196251",-0.07,-0.81,0.189355709,0.071697195,0.117519365,4.980925105,0,243,0,50.320961,"Denmark",0,0,0,0,9,0.3143,0.2309,1.3611953226505,0.308363227443072,2.24643793237104,3.7472191144519,4.30883543098835,0.678611134576977,0.120248201648586,13.0697660629198,13.8947526067345,12.0033939908299,11.6176984574227,11.9310005076162,13.0697660629198,3.91842170998407,4.18234714433336
"244","2011","Denmark",1,0.4,0.6,1,1,1,"DNK",65.1149375,0.332782256,46.071,0.073192635,1.3,"2.656",7.758,"-1.19",-0.063147865,1.336744129,61.357,1935.546,65.84797,8.23512,"Denmark",25.3,47.3,"Denmark","DNK",128,5569.858401,1846.85361,0.181601603,151.9975862,121.6338044,514.9515,604.4182,775.2,947.4795,0.887733333,2.730583333,281.9046361,7.77,193.5849389,46.1,743.6,784.29,5.7456,3527.31,2333.6001,1816.9,1710.41,1981.468994,6.275284767,109.8768158,59.70756149,0,0,1,1,"PEG","DEU",0.425834,-0.163201258,0.003641853,0.142488271,0.008877333,NA,NA,-0.027897032,0.031538885,0.032443974,-0.177150816,0.016670134,NA,NA,NA,0.027305834,0.013717006,-0.015285642,-0.030255219,0.075682804,"Denmark",9.83,42.217,63.326,271.974,73.88706138,91.383284386,477938.582034248,163546.177300156,1092215.6,158325.971797297,113791.257354722,477938.582034248,"5420.3780085895","7423.1510894894","65976.2290747745","20531.8301558926","26098.9314671121","34971.4991818682",0,0.07,0.610856872,0.131496336,0.479360536,-0.673766938,0,244,0.757065331552105,50.26083,"Denmark",0,0,0,0,7.5416,0.3151,0.2292,1.37478184991274,0.318295063922644,2.28543893415908,3.74282298352416,4.30253772981076,0.692971372450492,0.125062625317075,13.07723751375,13.9037188516965,12.004850659414,11.6421209730723,11.972411299356,13.07723751375,3.91722604610563,4.17615397757892
"245","2012","Denmark",0.9,0.3,0.6,0,0,0,"DNK",64.1442463,0.838099447,44.894,-0.95126009,0.2,"2.354",7.792,"-1.835",-0.089945429,0.226499396,71.808,1939.93,67.39069,9.64684,"Denmark",25.3,47.7,"Denmark","DNK",128,5589.89026,1895.00225,0.187757256,155.5760171,119.0440256,528.6781,614.5469,851.4,1018.8917,0.080086667,1.403333333,272.7711003,7.8,197.8808277,44.9,765.454,832.775,5.6591,3519.09,2389.8689,1844.84,1674.25,2054.302002,6.416166782,102.1999664,56.6137619,0,0,1,1,"PEG","DEU",-0.55416697,0.266415179,0.000932198,0.061103448,0.000800867,NA,NA,-0.032400984,0.033333182,0.034449376,0.242012367,0.019269219,NA,NA,NA,0.014033333,0.023932608,0.059237033,0.063677147,0.030952157,"Denmark",10.592,43.399,69.801,285.999,74.446906974,86.601087185,476843.480427126,167877.978435475,1124284.9,177859.137589972,119463.726138695,476843.480427126,"5466.6040907704","7757.6640074641","70656.3697275231","19771.9085035842","27216.3176698917","35583.0883129379",-1.28,-1.28,0.565559672,0.186761579,0.378798093,-1.389751596,0,245,0.398159215548421,38.972591,"Denmark",0,0,0,0,3.0872,0.316,0.2283,1.38414367060885,0.325081660051162,2.36009899919465,3.77043639936625,4.31008621325693,0.806006047601792,0.143147963019818,13.0749435827465,13.9326577470686,12.0309926756516,11.6907680573175,12.088747154128,13.0749435827465,3.66285860418177,4.16113439569073
"246","2013","Denmark",1.2,0.6,0.6,0,0,0,"DNK",64.0867899,0.74722368,44.046,1.222630803,0.9,"0.522",7.367,"-2.014",0.08075898,0.933332646,70.689,1958.036,67.29232,9.47838,"Denmark",25.2,48,"Denmark","DNK",128,5611.925305,1929.67703,0.190547754,156.3892253,149.7236384,545.9699,620.2704,878.2493,1023.7736,-0.023101667,1.745833333,283.3870643,7.38,200.782309,44,779.085,807.141,5.4127,3549.739942,2386.3786,1780.642102,1769.09784,1933.936035,7.398605347,96.57021332,50.57691574,0,0,1,1,"PEG","DEU",-0.16583334,0.30648011,0.074140146,-0.067168623,-0.000231017,NA,NA,0.03891933,0.03522082,0.033901401,0.279680103,0.020513127,NA,NA,NA,0.017458333,0.026250239,0.116713472,0.138000146,-0.033699822,"Denmark",10.516,44.945,69.703,297.897,74.372724615,89.357668171,480190.861631308,166679.102785644,1092983.3,147309.563364129,118493.200535714,480190.861631308,"5464.1400694043","9264.1780563901","68243.4058250294","19858.6230823233","25677.906888829","35521.4765848904",0.77,2.05,0.423663662,0.220970746,0.202832065,0.379626273,0,246,0.528982302861579,30.63752,"Denmark",0,0,0,0,3.1248,0.3267,0.2222,1.47029702970297,0.385464441401495,2.35289790686763,3.80543952002536,4.30908926998604,0.780044974613844,0.1408538151159,13.0819389322494,13.9044214879935,12.0238257026664,11.6826108584656,11.9002915247433,13.0819389322494,3.4222254016488,4.1602382568846
"247","2014","Denmark",0,0,0,0,0,0,"DNK",63.808638,0.994112271,44.27,0.972975861,1.6,"0.352",6.917,"-1.756",0.285349636,1.619428856,76.45,1989.745,68.5269,10.2551,"Denmark",25.7,48.3,"Denmark","DNK",128,5635.963536,1981.16499,0.191574369,156.9397531,176.7991646,555.2432,620.6228,946.0664,1087.4353,0.064115833,1.326666667,294.0809158,6.93,205.858852,44.3,841.417,822.746,6.1214,3567.774851,2409.748902,1774.596452,1793.178399,2408.073975,7.588757038,92.03229523,51.62076187,0,0,1,1,"PEG","DEU",0.0075,0.197683051,0.07225509,0.143458277,0.000641158,NA,NA,0.037712589,0.034542501,0.033287156,0.175640896,0.01840399,NA,NA,NA,0.013266667,0.021636484,0.105574116,0.110178746,0.072049715,"Denmark",11.237,45.947,74.592,305.008,75.812698182,91.021709587,477500.953072085,170314.38455577,1098691.5,145389.911849551,120910.35760281,477500.953072085,"4488.3534884994","9235.8242739407","72370.05497299","20127.7897209705","22645.6465559824","34816.12486738",2.74,1.97,0.285471992,0.068012158,0.217459834,0.879429551,0,247,0,32.082699,"Denmark",0,1,0,1,3.611506849,0.334,0.2197,1.52025489303596,0.418878013586136,2.41921190492577,3.82748855831341,4.32826580080802,0.819496802888588,0.149650721103683,13.0763214348634,13.9096304842433,12.0454013290601,11.7028047037589,11.8871744596219,13.0763214348634,3.46831691287576,4.15588857303562
"248","2015","Denmark",0,0,0,0,0,0,"DNK",64.1213569,0.816016392,39.774,0.465492608,2.3,"0.226",6.267,"-1.003",0.55956701,2.342561484,73.858,2036.356,69.53549,9.90227,"Denmark",25.9,48.5,"Denmark","DNK",128,5669.016103,2036.35622,0.198506294,157.2936639,167.8975522,573.0576,636.1338,1043.6434,1157.5873,-0.126008333,0.69,314.5250436,6.28,210.2913065,39.8,800.631,832.542,6.83,3590.984651,2463.339911,1789.49562,1801.489031,2628.888916,8.942802443,98.24615309,48.75393687,0,0,1,1,"PEG","DEU",-0.20416667,0.339859217,0.027883975,-0.028944058,-0.001260083,NA,NA,-0.006041853,0.033925828,0.034132048,0.292743951,0.035164356,NA,NA,NA,0.0069,0.045458511,0.120779462,0.136203453,-0.015102071,"Denmark",10.84,49.52,72.592,331.608,77.08840803,77.08840803,478233,173582,1110377,150000,123101,478233,"4802.","8615.","73843.","19937.","22767.","35841.",0.06,-2.68,0.269145561,0.01883035,0.250315211,0.364613437,0,248,0.124659220162105,42.281261,"Denmark",0,0,2,0,6.269041096,0.3292,0.2204,1.49364791288566,0.401221391524155,2.3832429960115,3.90237662837634,4.34495291946017,0.941672060107271,0.14240598577791,13.0778533404083,13.9202101552637,12.0644053891966,11.7207604356164,11.9183905730784,13.0778533404083,3.74434398553363,4.16077748940141
"249","2016","Denmark",0,0,0,0,0,0,"DNK",63.8688204,1.008725581,37.193,0.303333333,3.2,"0.017",5.983,"0.475",0.629774377,3.245945208,79.578,2102.455,70.4052,10.68851,"Denmark",25.8,48.4,"Denmark","DNK",128,5716.090972,2107.80822,0.210247729,157.3204038,163.8610717,568.2477,637.3154,1122.3316,1221.8437,-0.440208333,0.320833333,329.391107,5.99,210.852358,37.2,811.539,821.394,7.0528,3645.955929,2505.259517,1786.358761,1859.597168,2749.658936,8.474193928,96.47187509,48.42317362,0,0,1,1,"PEG","DEU",-0.21250001,-0.060600001,0.086742803,0.047262341,-0.0044,NA,NA,0.052150011,0.034592792,0.032878194,-0.082699999,0.024092445,NA,NA,NA,0.003203,0.0221,0.036892522,0.038531024,0.02143117,"Denmark",11.49,53.628,78.186,364.914,77.20621094,77.867254833,481297.639312597,177368.428494737,1103339.9,138616.090088208,119183.564365935,481297.639312597,"5378.3070990412","8476.4194598761","68963.422574297","20615.5139323041","23392.4440071799","36365.4154704829",0.15,0.09,0,0,0,-0.459023904,0,249,0.203156459096316,38.004002,"Denmark",0,0,1,0,9,0.3322,0.219,1.51689497716895,0.416665467362694,2.44147709186066,3.98207131973931,4.34647990638527,1.00409344297142,0.15181421258657,13.0842411504643,13.9138524103291,12.0859843651206,11.6884201412706,11.8394634491025,13.0842411504643,3.63769146997054,4.15683129863827
